Location,Total Doses,per hundered people,Reported Doses,Cur. Daily Doses
Pitcairn,353,751.06,94,1
Cook Islands,120231,684.21,39596,1433
Tokelau,7462,545.47,1936,24
Nauru,37461,344.53,22976,294
Niue,5335,330.55,4161,15
Samoa,488362,244.01,482765,770
Australia,57630821,223.48,57615829,11583
New Zealand,11085151,216.4,11083543,1278
Tonga,202969,190.12,190474,442
Fiji,1467470,162.53,1467187,39
French Polynesia,454160,160.75,453259,124
New Caledonia,461366,160.08,460894,65
Wallis and Futuna,16623,149.84,16426,7
Vanuatu,400005,127.2,301000,2807
Kiribati,148631,122.44,147497,156
Marshall Islands,71356,119.69,70940,100
Tuvalu,13301,111.54,12528,14
Solomon Islands,458240,65.09,452002,858
Papua New Guinea,587623,6.44,587340,39
,,,,
 ,,,,
